编号,名称,电压等级,本侧站,对侧站,正序阻抗,零序阻抗,长度(km),调度名称对应
1,淄临线,500kV,淄博站,临淄站,0.0256119+j0.281924,0.0778669+j0.733003,34.66,
2,济天线,500kV,天衍站,济南站,0.0228987+j0.272092,0.164774+j0.67008,36.43,
3,益川Ⅱ线,500kV,淄川站,益都站,0.0291022+j0.269969,0.219195+j0.809907,80.75,
4,德韶线,500kV,闻韶站,德州站,0.025849+j0.274096,0.194024+j0.670495,34.57,
5,川泰Ⅱ线,500kV,泰山站,淄川站,0.020001+j0.280011,0.080003+j0.700028,100.01,
7,蒙照Ⅱ线,500kV,日照站,沂蒙站,0.0211927+j0.282284,0.222048+j0.776699,97.26,
8,照琅Ⅰ线,500kV,琅琊站,日照站,0.0234183+j0.282387,0.282955+j0.841961,89.4,
9,华陵线,500kV,陵县站,,0.0291697+j0.288099,0.163869+j0.637808,36.13,
10,莱光Ⅱ线,500kV,,光州站,0.0315376+j0.228248,0.12615+j0.798868,45.33,
11,阳霞线,500kV,栖霞站,莱阳站,0.00944345+j0.26644,0.119325+j0.90393,77.98,
12,枣蒙Ⅱ线,500kV,枣庄站,沂蒙站,0.0202601+j0.286658,0.249498+j0.790125,111.51,
13,邹泰线,500kV,泰山站,,0.0270007+j0.282402,0.108001+j0.706006,104.69,
14,岱泰线,500kV,岱宗站,泰山站,0.0215158+j0.203734,0.170203+j0.742837,47.93,
15,东琅Ⅱ线,500kV,胶东站,琅琊站,0.0349006+j0.266722,0.195226+j0.727883,37.22,
16,光寿Ⅱ线,500kV,光州站,寿光站,0.0211615+j0.268948,0.0736365+j0.533027,98.06,
17,皇郓Ⅱ线,500kV,,郓城站,0.02+j0.28,0.0652+j0.728,48.5,
18,龙济Ⅰ线,500kV,蟠龙站,济南站,0.020072+j0.274136,0.153352+j0.87911,23.6,
19,长龙Ⅱ线,500kV,蟠龙站,长清站,0.0271592+j0.27675,0.17056+j0.714157,63.01,
20,聊长Ⅱ线,500kV,长清站,聊城站,0.0200242+j0.295516,0.180299+j0.749434,74.26,
21,邑聊Ⅰ线,500kV,,聊城站,0.0273843+j0.28,0.196242+j0.741659,12.96,
22,郓泰Ⅱ线,500kV,郓城站,泰山站,0.022547+j0.21299,0.170127+j0.871475,143.03,
23,潍泽线,500kV,大泽站,潍坊站,0.0304193+j0.271165,0.197327+j0.715733,62.25,
25,霞光线,500kV,光州站,栖霞站,0.0181739+j0.272543,0.238271+j0.896422,99.5,
26,东泽Ⅰ线,500kV,大泽站,胶东站,0.0220868+j0.262339,0.143897+j0.658629,45.14,
27,潍崂线,500kV,潍坊站,崂山站,0.0306283+j0.294587,0.260223+j0.916584,110.29,
28,益川Ⅰ线,500kV,淄川站,益都站,0.0291022+j0.269969,0.219195+j0.809907,80.75,
29,聊长Ⅰ线,500kV,长清站,聊城站,0.0200296+j0.295595,0.180348+j0.749636,74.24,
30,济淄Ⅱ线,500kV,济南站,淄博站,0.0270193+j0.276074,0.17607+j0.765439,74.68,
31,聊韶Ⅰ线,500kV,闻韶站,聊城站,0.0205849+j0.270006,0.160468+j0.717548,117.79,
32,临潍线,500kV,临淄站,潍坊站,0.0262395+j0.282142,0.178802+j0.73357,101.33,
33,济韶线,500kV,济南站,闻韶站,0.0278327+j0.293459,0.197024+j0.665611,43.88,
34,光泽线,500kV,光州站,大泽站,0.0193641+j0.265966,0.174686+j0.763553,58.03,
35,上河Ⅱ线,500kV,汶上站,,0.0196262+j0.29045,0.141876+j0.897323,13.11,
36,龙济Ⅱ线,500kV,蟠龙站,济南站,0.0164055+j0.277318,0.173088+j0.699078,21.7,
38,皇郓Ⅰ线,500kV,,郓城站,0.02+j0.28,0.0652+j0.728,48.5,
39,邹枣线,500kV,,枣庄站,0.0230105+j0.283965,0.24727+j0.725559,48.53,
40,寿油Ⅰ线,500kV,寿光站,油城站,0.0196075+j0.269088,0.0582025+j0.501744,66.76,
41,泰天线,500kV,天衍站,泰山站,0.0262006+j0.28109,0.204814+j0.687543,115.28,
42,阳泽线,500kV,大泽站,莱阳站,0.0313349+j0.250712,0.191414+j0.695779,91.77,
43,光寿Ⅰ线,500kV,光州站,寿光站,0.0211615+j0.268948,0.0736365+j0.533027,98.06,
44,上泰Ⅰ线,500kV,泰山站,汶上站,0.0208375+j0.270013,0.181931+j1.02352,96.96,
45,郓岱线,500kV,郓城站,岱宗站,0.022102+j0.204684,0.177217+j0.766678,102.85,
46,滨油Ⅱ线,500kV,油城站,滨州站,0.0192559+j0.270071,0.122826+j0.645515,60.34,
47,郓上线,500kV,郓城站,汶上站,0.0225472+j0.212995,0.170129+j0.871491,54.06,
48,邹川线,500kV,淄川站,,0.0286472+j0.28136,0.121855+j0.611254,191.08,
49,辛聊Ⅱ线,500kV,,聊城站,0.0249413+j0.273812,0.173504+j0.717513,110.66,
50,昆牟线,500kV,牟平站,昆嵛站,0.0210522+j0.269522,0.125561+j0.666196,67.95,
51,邑聊Ⅱ线,500kV,,聊城站,0.0273843+j0.28,0.196242+j0.741659,12.96,
52,枣蒙Ⅰ线,500kV,枣庄站,沂蒙站,0.020261+j0.286671,0.249509+j0.79016,107.29,
53,霞昆Ⅱ线,500kV,栖霞站,昆嵛站,0.0184153+j0.271736,0.202982+j0.797456,119.71,
54,滨油Ⅰ线,500kV,油城站,滨州站,0.0192559+j0.270071,0.122826+j0.645515,60.34,
55,益潍Ⅰ线,500kV,潍坊站,益都站,0.021135+j0.273731,0.059549+j0.5261,66.52,
56,益潍Ⅱ线,500kV,潍坊站,益都站,0.021135+j0.273731,0.059549+j0.5261,66.52,
57,核阳Ⅱ线,500kV,,莱阳站,0.0135449+j0.261568,0.141766+j0.744416,57.66,
58,东崂Ⅰ线,500kV,胶东站,崂山站,0.0233844+j0.282581,0.199493+j0.752706,50.29,
59,上河Ⅰ线,500kV,汶上站,,0.0196262+j0.29045,0.141876+j0.897323,13.11,
60,聊韶Ⅱ线,500kV,闻韶站,聊城站,0.0205849+j0.270006,0.160468+j0.717548,117.79,
61,黄滨Ⅱ线,500kV,滨州站,,0.0249758+j0.271041,0.288129+j0.682929,113.47,
62,密琅线,500kV,密州站,琅琊站,0.0189725+j0.245759,0.193698+j0.743496,59.66,
63,华德线,500kV,,德州站,0.0479604+j0.293941,0.190521+j0.801625,60.6,
64,上泰Ⅱ线,500kV,泰山站,汶上站,0.0208375+j0.270013,0.181931+j1.02352,96.96,
65,上嘉Ⅰ线,500kV,,汶上站,0.0267259+j0.286303,0.208431+j0.81762,33.78,
66,东崂Ⅱ线,500kV,胶东站,崂山站,0.0348984+j0.266704,0.195214+j0.727834,51.67,
67,东琅Ⅰ线,500kV,胶东站,琅琊站,0.0233827+j0.28258,0.19949+j0.752703,36.48,
68,黄滨Ⅰ线,500kV,滨州站,,0.0249758+j0.271041,0.288129+j0.686451,113.47,
69,川泰Ⅰ线,500kV,泰山站,淄川站,0.020001+j0.280011,0.080003+j0.700028,100.01,
70,霞牟线,500kV,牟平站,栖霞站,0.0190126+j0.267617,0.140387+j0.685955,65.93,
71,济淄Ⅰ线,500kV,济南站,淄博站,0.0260948+j0.281858,0.163655+j0.840763,72.39,
72,核阳Ⅰ线,500kV,,莱阳站,0.0135449+j0.261568,0.141766+j0.744416,57.66,
73,邹鲁线,500kV,鲁中站,,0.0211176+j0.266682,0.231823+j0.926149,152.47,
74,照琅Ⅱ线,500kV,琅琊站,日照站,0.0234171+j0.282375,0.282942+j0.841923,90.37,
75,长龙Ⅰ线,500kV,蟠龙站,长清站,0.0183806+j0.274629,0.20506+j0.96121,67.99,
76,蒙照Ⅰ线,500kV,日照站,沂蒙站,0.0211922+j0.282284,0.222048+j0.776699,95.79,
77,鲁密线,500kV,密州站,鲁中站,0.0200621+j0.273968,0.23881+j0.871098,143.21,
78,辛聊Ⅰ线,500kV,,聊城站,0.024128+j0.274715,0.165371+j0.745527,110.66,
79,莱光Ⅰ线,500kV,,光州站,0.0315376+j0.228248,0.12615+j0.798868,45.33,
80,上嘉Ⅱ线,500kV,,汶上站,0.0267259+j0.286303,0.208431+j0.81762,33.78,
81,陵滨线,500kV,陵县站,滨州站,0.0250542+j0.276775,0.186757+j0.671486,129.97,
82,崂阳线,500kV,莱阳站,崂山站,0.0260365+j0.266752,0.188261+j0.704254,72.36,
84,滨利线,220kV,滨州站,,0.053998+j0.307988,0.167394+j0.890087,26.61,
90,滨堡线,220kV,,滨州站,0.0552033+j0.308828,0.190921+j0.666412,8.36,
97,滨尚Ⅰ线,220kV,,滨州站,0.065244+j0.370045,0.226136+j0.893881,17.83,
98,天明Ⅱ线,220kV,,天衍站,0.0380333+j0.30722,0.181153+j0.815667,15,
103,滨尚Ⅱ线,220kV,,滨州站,0.0701066+j0.369148,0.228828+j0.893197,17.83,
105,滨郭Ⅱ线,220kV,,滨州站,0.0567661+j0.325516,0.178956+j0.743463,17.44,
107,滨大线,220kV,,滨州站,0.0493751+j0.349432,0.19537+j0.789281,53.13,
110,天明Ⅰ线,220kV,,天衍站,0.0413+j0.308627,0.182333+j0.812667,15,
114,滨董线,220kV,,滨州站,0.0446791+j0.311511,0.174178+j0.667079,34.75,
115,淄肖线,220kV,,淄博站,0.0520526+j0.307284,0.161363+j0.888051,28.15,
117,陵苏Ⅰ线,220kV,,陵县站,0.0393407+j0.301978,0.133846+j0.817363,4.55,
118,德邢Ⅱ线,220kV,德州站,,0.0396697+j0.302935,0.118491+j0.788003,13.32,
120,陵天线,220kV,,陵县站,0.0419326+j0.303191,0.151167+j0.71711,33.84,
122,韶瓦Ⅱ线,220kV,,闻韶站,0.0333772+j0.29705,0.183483+j0.607218,18.98,
123,韶瓦Ⅰ线,220kV,,闻韶站,0.0333772+j0.29705,0.183483+j0.607218,18.98,
128,德夏线,220kV,,德州站,0.0602613+j0.362924,0.21142+j0.812912,83.8,
131,德糖Ⅰ线,220kV,,德州站,0.0406247+j0.312486,0.14159+j0.735461,22.89,
132,陵河线,220kV,陵县站,,0.0518479+j0.300757,0.207621+j0.816543,56.82,
133,陵杨线,220kV,,陵县站,0.0397811+j0.301943,0.150876+j0.710716,21.93,
136,陵苗线,220kV,,陵县站,0.0400017+j0.303012,0.120005+j0.787833,24.23,
138,陵香Ⅰ线,220kV,,陵县站,0.039759+j0.300577,0.237902+j0.682856,19.92,
140,德邢Ⅰ线,220kV,德州站,,0.0396697+j0.302935,0.118491+j0.788003,13.32,
141,德临线,220kV,,德州站,0.0627316+j0.38046,0.227586+j0.875118,29.58,
142,德禹线,220kV,德州站,,0.04+j0.302998,0.12+j0.787799,26.08,
147,德龙线,220kV,,德州站,0.0350955+j0.3004,0.158685+j0.736117,22.51,
149,德晏线,220kV,,德州站,0.0400008+j0.303006,0.16132+j0.90902,49.26,
151,陵津Ⅰ线,220kV,,陵县站,0.0403093+j0.300677,0.180101+j0.736266,39.45,
153,陵香Ⅱ线,220kV,,陵县站,0.039759+j0.300577,0.237902+j0.682856,19.92,
154,德平线,220kV,,德州站,0.0386216+j0.300325,0.173342+j0.746424,30.76,
158,陵华Ⅱ线,220kV,,陵县站,0.0477901+j0.314459,0.123917+j0.876164,38.01,
159,韶临线,220kV,,闻韶站,0.065407+j0.398312,0.263405+j0.933521,30.22,
162,德糖Ⅱ线,220kV,,德州站,0.0399953+j0.305749,0.154534+j0.875566,25.37,
163,陵时线,220kV,,陵县站,0.0399984+j0.302988,0.124695+j0.665259,49.97,
166,陵苏Ⅱ线,220kV,,陵县站,0.0394273+j0.302643,0.134141+j0.819163,4.54,
169,油茂线,220kV,,油城站,0.0387467+j0.301358,0.0858747+j0.581044,38.3,
173,油坨线,220kV,,油城站,0.0355776+j0.298512,0.137958+j0.686609,42.94,
178,油口Ⅰ线,220kV,,油城站,0.0412715+j0.300057,0.15488+j0.68256,17.46,
179,油胜线,220kV,,油城站,0.04+j0.303,0.12+j0.7878,41.37,
180,临乐Ⅰ线,220kV,,临淄站,0.0389182+j0.298541,0.191723+j0.790931,15.9,
181,油东线,220kV,,油城站,0.0477938+j0.302826,0.139018+j0.628656,20.17,
187,临乐Ⅱ线,220kV,,临淄站,0.0375816+j0.287654,0.184879+j0.762116,16.54,
188,油口Ⅱ线,220kV,,油城站,0.0412715+j0.300057,0.15488+j0.68256,17.46,
191,油丁Ⅱ线,220kV,,油城站,0.0399934+j0.30294,0.119973+j0.787644,15.07,
197,油安线,220kV,,油城站,0.0490881+j0.299938,0.142349+j0.62374,32.35,
205,油广Ⅱ线,220kV,,油城站,0.0456458+j0.298933,0.160038+j0.68194,34.22,
206,油丁Ⅰ线,220kV,,油城站,0.0399934+j0.30294,0.119973+j0.787644,15.07,
209,郓潘Ⅰ线,220kV,,郓城站,0.04001+j0.303076,0.12003+j0.787996,20.02,
214,郓浒Ⅱ线,220kV,,郓城站,0.04+j0.303002,0.12+j0.908999,15.09,
219,郓三Ⅱ线,220kV,,郓城站,0.0399967+j0.302975,0.11999+j0.875598,12.2,
221,郓潘Ⅱ线,220kV,,郓城站,0.04001+j0.303076,0.12003+j0.787997,20.02,
224,郓浒Ⅰ线,220kV,,郓城站,0.04+j0.303002,0.12+j0.908999,15.09,
240,郓三Ⅰ线,220kV,,郓城站,0.0399967+j0.302975,0.11999+j0.875598,12.2,
255,石长Ⅰ线,220kV,,长清站,0.0823525+j0.449766,0.189195+j1.3243,36.26,
257,长兴Ⅰ线,220kV,,长清站,0.0348033+j0.302428,0.0825085+j0.612861,41.18,
259,韶中Ⅰ线,220kV,,闻韶站,0.0467887+j0.278665,0.17926+j0.776125,26.22,
261,锦济线,220kV,,济南站,0.0709818+j0.391316,0.205152+j1.13089,9.88,
268,韶中Ⅱ线,220kV,,闻韶站,0.0467887+j0.278665,0.17926+j0.776125,26.22,
269,天绣Ⅰ线,220kV,,天衍站,0.0407194+j0.301833,0.111455+j0.627415,15.22,
270,韶康Ⅰ线,220kV,,闻韶站,0.0440954+j0.291773,0.139407+j0.632916,16.36,
271,长玫线,220kV,,长清站,0.0383045+j0.289803,0.151905+j0.669275,32.97,
273,韶清线,220kV,,闻韶站,0.0401509+j0.304138,0.12045+j0.790761,32.48,
276,济绣线,220kV,,济南站,0.0690235+j0.360141,0.207066+j0.936367,23.45,
279,长许Ⅱ线,220kV,,长清站,0.0399944+j0.302959,0.119983+j0.908878,18.01,
280,黄韶线,220kV,,闻韶站,0.075324+j0.403989,0.225973+j1.05037,66.83,
281,韶美线,220kV,,闻韶站,0.00998134+j0.264024,0.139866+j0.674565,32.16,
282,长文线,220kV,,长清站,0.0780505+j0.411679,0.234152+j1.23505,5.54,
283,济飞Ⅰ线,220kV,,济南站,0.0399662+j0.302792,0.119898+j0.787259,5.91,
287,长许Ⅰ线,220kV,,长清站,0.039989+j0.302926,0.119972+j0.908782,18.15,
291,长党线,220kV,,长清站,0.076528+j0.406837,0.229584+j1.05778,35.57,
294,龙姚Ⅰ线,220kV,蟠龙站,,0.0218502+j0.190512,0.110966+j0.4837,22.16,
296,韶康Ⅱ线,220kV,,闻韶站,0.0440954+j0.291773,0.139407+j0.632916,16.36,
299,天绣Ⅱ线,220kV,,天衍站,0.0407194+j0.301833,0.111455+j0.627415,15.22,
302,石长Ⅱ线,220kV,,长清站,0.0780858+j0.417654,0.234257+j1.0859,36.37,
306,龙脉线,220kV,,蟠龙站,0.0378713+j0.301571,0.208339+j0.821179,27.81,
308,济飞Ⅱ线,220kV,,济南站,0.0651227+j0.374812,0.195368+j0.974517,6.11,
313,石长Ⅳ线,220kV,,长清站,0.0526998+j0.306283,0.172004+j0.715196,35.78,
315,长兴Ⅱ线,220kV,,长清站,0.0348033+j0.302428,0.0825085+j0.612861,41.18,
319,上运Ⅰ线,220kV,,汶上站,0.0528593+j0.350802,0.260212+j0.762413,13.22,
334,上红Ⅰ线,220kV,汶上站,,0.0420843+j0.315121,0.107061+j0.630664,17.32,
339,上都线,220kV,,汶上站,0.0533065+j0.31864,0.255647+j0.806992,21.11,
356,上安Ⅱ线,220kV,,汶上站,0.0399961+j0.302977,0.119992+j0.787738,25.6,
363,上安Ⅰ线,220kV,,汶上站,0.0400039+j0.303022,0.120008+j0.78786,25.61,
365,上红Ⅱ线,220kV,汶上站,,0.0420843+j0.315121,0.107061+j0.630664,17.32,
368,鲁双Ⅱ线,220kV,,鲁中站,0.0393058+j0.299043,0.120038+j0.624522,5.33,
376,城鲁线,220kV,,鲁中站,0.0765877+j0.409039,0.281961+j0.913676,29.98,
377,鲁双Ⅰ线,220kV,,鲁中站,0.0393058+j0.299043,0.120038+j0.624522,5.33,
384,鲁棋Ⅰ线,220kV,,鲁中站,0.0400794+j0.303492,0.120198+j0.910437,2.52,
389,聊亭线,220kV,,聊城站,0.0780009+j0.41,0.234+j1.23,42.87,
392,聊桥Ⅱ线,220kV,,聊城站,0.0377394+j0.320441,0.203883+j0.830452,37.6,
393,聊谭Ⅰ线,220kV,,聊城站,0.0395018+j0.303,0.118505+j0.909,28.5,
399,聊岳Ⅰ线,220kV,,聊城站,0.0396481+j0.332584,0.165408+j0.72206,11.65,
400,聊岳Ⅱ线,220kV,,聊城站,0.0378197+j0.33606,0.151579+j0.736343,11.65,
401,聊庞线,220kV,,聊城站,0.0779943+j0.409977,0.233986+j1.22993,34.95,
402,堂聊Ⅰ线,220kV,,聊城站,0.0224599+j0.26715,0.186249+j0.733231,13.09,
406,聊谭Ⅱ线,220kV,,聊城站,0.0395014+j0.302992,0.118504+j0.908975,36.1,
407,聊蒋Ⅱ线,220kV,,聊城站,0.04+j0.303,0.12+j0.87567,15.1,
409,聊桥Ⅰ线,220kV,,聊城站,0.0781107+j0.412055,0.234332+j1.23616,37.95,
412,聊汇线,220kV,,聊城站,0.0399953+j0.302973,0.119988+j0.908915,42.59,
417,堂聊Ⅱ线,220kV,,聊城站,0.0292015+j0.260837,0.177414+j0.704335,13.15,
426,聊尚线,220kV,,聊城站,0.0417714+j0.310587,0.207586+j0.783919,36.13,
428,聊蒋Ⅰ线,220kV,,聊城站,0.04+j0.303,0.12+j0.87567,15.1,
432,聊石线,220kV,,聊城站,0.0429992+j0.316317,0.173743+j0.718399,36.41,
439,蒙临Ⅱ线,220kV,,沂蒙站,0.0643915+j0.410351,0.231187+j1.07252,30.24,
440,蒙临Ⅰ线,220kV,,沂蒙站,0.0618932+j0.404124,0.22234+j1.04529,32.01,
442,费蒙Ⅱ线,220kV,,沂蒙站,0.0348003+j0.303769,0.10729+j0.744527,44.31,
449,蒙太线,220kV,,沂蒙站,0.0684449+j0.383059,0.205335+j0.995956,27.2,
461,费蒙Ⅰ线,220kV,,沂蒙站,0.0348003+j0.303769,0.10729+j0.744527,44.31,
462,蒙相Ⅰ线,220kV,,沂蒙站,0.0672875+j0.444278,0.2566+j0.956962,27.65,
471,蒙天Ⅰ线,220kV,,沂蒙站,0.0386311+j0.300438,0.227592+j0.860127,53.62,
473,蒙柳Ⅰ线,220kV,,沂蒙站,0.04+j0.303001,0.181199+j0.795981,14.43,
479,蒙柳Ⅱ线,220kV,,沂蒙站,0.04+j0.303001,0.181199+j0.795981,14.43,
481,蒙天Ⅱ线,220kV,,沂蒙站,0.0386311+j0.300438,0.227592+j0.860127,53.62,
487,蒙阳Ⅰ线,220kV,,沂蒙站,0.0662614+j0.43447,0.276836+j1.37359,36.35,
490,蒙阳Ⅱ线,220kV,,沂蒙站,0.0772665+j0.407608,0.231802+j1.22283,33.4,
502,崂旺II线,220kV,,崂山站,0.0460045+j0.331828,0.242867+j0.835214,22.15,
503,东上II线,220kV,,胶东站,0.0390422+j0.303022,0.167423+j0.747848,35.08,
505,崂李线,220kV,,崂山站,0.0352423+j0.30109,0.0962207+j0.671922,43.13,
506,阳桥线,220kV,,莱阳站,0.0390619+j0.295894,0.117186+j0.769324,37.14,
507,崂旺I线,220kV,,崂山站,0.0460045+j0.331828,0.242867+j0.835214,22.15,
508,东官II线,220kV,,胶东站,0.0460122+j0.302494,0.103837+j0.579779,21.29,
515,东官I线,220kV,,胶东站,0.0460771+j0.302921,0.103984+j0.580597,21.26,
518,崂空线,220kV,,崂山站,0.0773786+j0.314194,0.229553+j0.639369,20.6,
519,泽林II线,220kV,,大泽站,0.0349728+j0.301089,0.180973+j0.739735,12.85,
520,崂虎线,220kV,,崂山站,0.0429849+j0.30069,0.128955+j0.781793,38.11,
523,潍林线,220kV,,潍坊站,0.0682146+j0.418541,0.231726+j1.09721,65.53,
526,泽唐II线,220kV,,大泽站,0.0435944+j0.300441,0.217194+j0.630928,19.28,
527,崂平线,220kV,,崂山站,0.0795326+j0.45081,0.271391+j0.979269,26.53,
530,崂广Ⅰ线,220kV,,崂山站,0.0530239+j0.352598,0.180451+j0.743825,11.74,
531,琅董I线,220kV,,琅琊站,0.0251276+j0.277221,0.257982+j0.855529,50.55,
533,岛琅I线,220kV,,琅琊站,0.0197577+j0.276629,0.0592766+j0.829882,28.06,
534,琅胶线,220kV,,琅琊站,0.0453004+j0.299514,0.160384+j0.683713,39.11,
536,岛琅Ⅱ线,220kV,,琅琊站,0.0197577+j0.276629,0.0592766+j0.829882,28.06,
537,泽平II线,220kV,,大泽站,0.0391375+j0.300343,0.0944356+j0.575921,30.03,
539,琅董II线,220kV,,琅琊站,0.0262384+j0.289475,0.269387+j0.893349,48.41,
540,琅匡Ⅲ线,220kV,,琅琊站,0.0394869+j0.315052,0.156702+j0.697375,25.14,
541,东匡II线,220kV,,胶东站,0.0367127+j0.302003,0.201437+j0.787326,21.02,
544,东匡Ⅰ线,220kV,,胶东站,0.0367127+j0.302003,0.201437+j0.787322,21.02,
545,泽平Ⅰ线,220kV,,大泽站,0.0391375+j0.300343,0.0944356+j0.575921,30.03,
546,崂即II线,220kV,,崂山站,0.0876686+j0.420167,0.290559+j1.2553,15.57,
547,琅庄II线,220kV,,琅琊站,0.0334785+j0.282526,0.33043+j0.783887,18.37,
